time,y
2814,0.0161252
2815,0.0161274
2816,0.0161315
2817,0.0161335
2818,0.0161375
2819,0.0161394
2820,0.0161433
2821,0.0161452
2822,0.0161487
2823,0.0161505
2824,0.0161541
2825,0.0161557
2826,0.0161591
2827,0.0161622
2828,0.0161638
2829,0.0161668
2830,0.0161683
2831,0.0161697
2832,0.0161726
2833,0.0161753
2834,0.0161766
2835,0.0161791
2836,0.0161803
2837,0.0161828
2838,0.016184
2839,0.0161862
2840,0.0161873
2841,0.0161883
2842,0.0161904
2843,0.0161914
2844,0.0161932
2845,0.0161959
2846,0.0161986
2847,0.0161986
2848,0.0161994
2849,0.0162003
2850,0.0162009
2851,0.0162019
2852,0.0162029
2853,0.0162034
2854,0.0162046
2855,0.0162052
2856,0.0162062
2857,0.0162067
2858,0.0162076
2859,0.0162084
2860,0.0162087
2861,0.0162095
2862,0.0162097
2863,0.0162103
2864,0.0162108
2865,0.0162112
2866,0.0162114
2867,0.0162116
2868,0.0162116
2869,0.0162118
2870,0.016212
2871,0.0162119
2872,0.016212
2873,0.0162119
2874,0.0162119
2875,0.0162117
2876,0.0162116
2877,0.0162113
2878,0.0162111
2879,0.0162108
2880,0.0162106
2881,0.0162103
2882,0.0162105
2883,0.0162107
2884,0.0162112
2885,0.0162116
2886,0.0162122
2887,0.0162124
2888,0.0162125
2889,0.0162131
2890,0.0162134
2891,0.0162136
2892,0.0162139
2893,0.0162141
2894,0.0162143
2895,0.0162146
2896,0.0162147
2897,0.0162149
2898,0.0162152
2899,0.0162154
2900,0.0162157
2901,0.0162159
2902,0.0162161
2903,0.0162233
2904,0.0162212
2905,0.0162177
2906,0.0162163
2907,0.0162151
2908,0.0162148
2909,0.0162148
2910,0.0162152
2911,0.0162154
2912,0.0162159
2913,0.016216
2914,0.0162165
2915,0.0162168
2916,0.0162172
2917,0.0162174
2918,0.0162179
2919,0.0162181
2920,0.0162183
2921,0.0162188
2922,0.0162191
2923,0.0162195
2924,0.0162199
2925,0.0162201
2926,0.0162204
2927,0.0162207
2928,0.0162209
2929,0.0162213
2930,0.0162216
2931,0.0162217
2932,0.0162221
2933,0.0162223
2934,0.0162227
2935,0.016223
2936,0.0162232
2937,0.0162235
2938,0.0162239
2939,0.0162241
2940,0.0162244
2941,0.0162247
2942,0.0162249
2943,0.0162253
2944,0.0162255
2945,0.0162256
2946,0.0162261
2947,0.0162263
2948,0.0162266
2949,0.016227
2950,0.0162274
2951,0.0162277
2952,0.0162282
2953,0.0162285
2954,0.016229
2955,0.0162295
2956,0.0162298
2957,0.0162304
2958,0.0162308
2959,0.0162314
2960,0.0162317
2961,0.0162324
2962,0.0162331
2963,0.0162334
2964,0.0162342
2965,0.0162349
2966,0.0162354
2967,0.0162362
2968,0.0162368
2969,0.0162376
2970,0.0162386
2971,0.016239
2972,0.0162396
2973,0.0162407
2974,0.0162417
2975,0.0162429
2976,0.0162434
2977,0.0162446
2978,0.0162453
2979,0.0162466
2980,0.0162472
2981,0.0162486
2982,0.01625
2983,0.0162507
2984,0.0162522
2985,0.016253
2986,0.0162546
