time,theta_dot
2415,0.000179971
2416,0.000180274
2417,0.000180401
2418,0.00018088
2419,0.000181107
2420,0.000181548
2421,0.000181761
2422,0.000182184
2423,0.000182392
2424,0.000182819
2425,0.000183026
2426,0.000183447
2427,0.000183863
2428,0.000184061
2429,0.000184268
2430,0.00018473
2431,0.000185142
2432,0.000185335
2433,0.000185784
2434,0.000186002
2435,0.000186438
2436,0.000186652
2437,0.000187083
2438,0.000187496
2439,0.000187689
2440,0.00018814
2441,0.000188359
2442,0.000188564
2443,0.00018902
2444,0.00018923
2445,0.000189653
2446,0.000190063
2447,0.000190468
2448,0.000190669
2449,0.000190889
2450,0.000192143
2451,0.000192886
2452,0.000192843
2453,0.000196038
2454,0.000197878
2455,0.000201744
2456,0.000204627
2457,0.000210794
2458,0.000214831
2459,0.00022325
2460,0.000228399
2461,0.00023901
2462,0.000245248
2463,0.000258245
2464,0.000272097
2465,0.000278989
2466,0.000295988
2467,0.000305373
2468,0.000313988
2469,0.000334725
2470,0.000345293
2471,0.000366703
2472,0.000378177
2473,0.000388955
2474,0.000414256
2475,0.000427157
2476,0.000453349
2477,0.000467225
2478,0.000495525
2479,0.000510459
2480,0.000540627
2481,0.000571934
2482,0.000587532
2483,0.000621872
2484,0.000639886
2485,0.000675898
2486,0.000694726
2487,0.000712763
2488,0.000752367
2489,0.000791532
2490,0.000811002
2491,0.000831147
2492,0.00087506
2493,0.000897134
2494,0.00094108
2495,0.000963882
2496,0.00100961
2497,0.00103334
2498,0.0010809
2499,0.00110553
2500,0.00115488
2501,0.00118039
2502,0.00123149
2503,0.00125786
2504,0.00131086
2505,0.00136442
2506,0.00139105
2507,0.00144723
2508,0.00147609
2509,0.0015336
2510,0.00156308
2511,0.0016219
2512,0.00165207
2513,0.00168142
2514,0.00174347
2515,0.00177458
2516,0.00183661
2517,0.00189963
2518,0.00193104
2519,0.00199606
2520,0.00202928
2521,0.00209547
2522,0.00212925
2523,0.00219656
2524,0.00223093
2525,0.00229945
2526,0.00233442
2527,0.00240435
2528,0.00243987
2529,0.00247452
2530,0.00254701
2531,0.00261861
2532,0.00269014
2533,0.00272628
2534,0.00280117
2535,0.00283917
2536,0.00291446
2537,0.00295265
2538,0.0030285
2539,0.00306702
2540,0.00314365
2541,0.00318257
2542,0.00322056
2543,0.00329955
2544,0.00333896
2545,0.00341723
2546,0.00349578
2547,0.00353505
2548,0.00361516
2549,0.00365577
2550,0.0037363
2551,0.00377706
2552,0.00385794
2553,0.0038989
2554,0.00393887
2555,0.00402163
2556,0.00406286
2557,0.00414458
2558,0.00418596
2559,0.00422637
2560,0.00431001
2561,0.00435165
2562,0.00443417
2563,0.00451667
2564,0.00459863
2565,0.00463977
2566,0.00472416
2567,0.00480803
2568,0.0048493
2569,0.00493357
2570,0.00497603
2571,0.00501756
2572,0.00510241
2573,0.00514453
2574,0.00522772
2575,0.00526971
2576,0.00535289
2577,0.00543599
2578,0.00547703
2579,0.00556046
2580,0.0056025
2581,0.00564337
2582,0.00572742
2583,0.00576907
2584,0.0058512
2585,0.00589258
2586,0.00597438
2587,0.00605591
2588,0.0060961
2589,0.00617768
2590,0.00621872
2591,0.00629955
2592,0.00637963
2593,0.00641894
2594,0.00649918
2595,0.00653949
2596,0.00661871
2597,0.00665849
2598,0.00673672
2599,0.00677603
2600,0.00681414
2601,0.00689247
2602,0.00693117
2603,0.00700719
2604,0.0070454
2605,0.00708242
2606,0.00715859
2607,0.0071962
2608,0.00726999
2609,0.00730706
2610,0.00737992
2611,0.00741651
2612,0.00748836
2613,0.00752443
2614,0.00759516
2615,0.00762984
2616,0.00769978
2617,0.00773481
2618,0.00780333
2619,0.00783765
2620,0.00790474
2621,0.00793837
2622,0.0079707
2623,0.00803723
2624,0.00806991
2625,0.00813379
2626,0.00819653
2627,0.00822711
2628,0.00825751
2629,0.00832017
2630,0.00835083
2631,0.00841029
2632,0.00844003
2633,0.00849791
2634,0.00855453
2635,0.00858191
2636,0.00863781
2637,0.00866572
2638,0.00869222
2639,0.00874672
2640,0.00879839
2641,0.00882323
2642,0.00887392
2643,0.00889921
2644,0.00894791
2645,0.00899504
2646,0.00904012
2647,0.00908445
2648,0.00912792
2649,0.00914918
2650,0.00919232
2651,0.00923342
2652,0.00925279
2653,0.00929208
2654,0.00931156
2655,0.00932955
2656,0.00936683
2657,0.0093847
2658,0.00941855
2659,0.00943527
2660,0.0094669
2661,0.00948264
2662,0.00951232
2663,0.00954063
2664,0.00955381
2665,0.00958055
2666,0.00959379
2667,0.00961821
2668,0.00963027
2669,0.00964088
2670,0.00966347
2671,0.00967401
2672,0.00969302
2673,0.00970241
2674,0.00971935
2675,0.00973468
2676,0.00974129
2677,0.00975546
2678,0.00976228
2679,0.00977376
2680,0.00977932
2681,0.00978839
2682,0.00979575
2683,0.00979835
2684,0.00980431
2685,0.00980711
2686,0.00980842
2687,0.00981222
2688,0.00981288
2689,0.00981211
2690,0.00981127
2691,0.00980863
2692,0.00980618
2693,0.00980187
2694,0.00979951
2695,0.00979257
2696,0.0097889
2697,0.00977947
2698,0.00977461
2699,0.00976288
2700,0.00975688
2701,0.00974292
2702,0.00973581
2703,0.00971963
2704,0.00970179
2705,0.00969181
2706,0.00967259
2707,0.00966282
2708,0.00964112
2709,0.0096301
2710,0.00960598
2711,0.00959379
2712,0.00956744
2713,0.00955416
2714,0.00953946
2715,0.00951145
2716,0.0094967
2717,0.00944066
2718,0.00942964
2719,0.00940764
2720,0.00938024
2721,0.0093641
2722,0.0093283
2723,0.00930991
2724,0.00927069
2725,0.00925095
2726,0.00922985
2727,0.00918913
2728,0.00916809
2729,0.0091241
2730,0.00910205
2731,0.00905623
2732,0.00903328
2733,0.00898559
2734,0.00893646
2735,0.00891092
2736,0.00886073
2737,0.00883555
2738,0.00878322
2739,0.0087293
2740,0.00870136
2741,0.00867336
2742,0.00861888
2743,0.00859092
2744,0.00853292
2745,0.0084735
2746,0.00844287
2747,0.00838257
2748,0.00832099
2749,0.00828927
2750,0.0082573
2751,0.00819486
2752,0.00816298
2753,0.00809723
2754,0.00803035
2755,0.00799609
2756,0.00792825
2757,0.00789436
2758,0.00785913
2759,0.00779022
2760,0.00771894
2761,0.00768248
2762,0.00761025
2763,0.007537
2764,0.00749957
2765,0.00746195
2766,0.00738842
2767,0.00735108
2768,0.0072747
2769,0.00723654
2770,0.00719713
2771,0.00712014
2772,0.00704096
2773,0.0070006
2774,0.0069211
2775,0.00688149
2776,0.00680075
2777,0.0067605
2778,0.00667866
2779,0.00663783
2780,0.00659593
2781,0.00655492
2782,0.0064723
2783,0.00638778
2784,0.00634487
2785,0.00630194
2786,0.00621817
2787,0.00617587
2788,0.00608979
2789,0.00604699
2790,0.00600304
2791,0.00591719
2792,0.00582949
2793,0.005785
2794,0.00569746
2795,0.00565396
2796,0.00560929
2797,0.00552192
2798,0.0054779
2799,0.00538859
2800,0.00534425
2801,0.00525457
2802,0.00520921
2803,0.0051196
2804,0.00507512
2805,0.00502953
2806,0.00494046
2807,0.00484974
2808,0.00480383
2809,0.00471359
2810,0.00466884
2811,0.00457828
2812,0.00453336
2813,0.00444252
2814,0.00435157
2815,0.00430566
2816,0.00421525
2817,0.00417045
2818,0.00407989
2819,0.00403502
2820,0.00394447
2821,0.0038996
2822,0.00380906
2823,0.00376429
2824,0.003674
2825,0.00362937
2826,0.0035394
2827,0.00344961
2828,0.00340438
2829,0.00331554
2830,0.00327163
2831,0.00322672
2832,0.00313931
2833,0.00305077
2834,0.00300614
2835,0.00291879
2836,0.00287567
2837,0.00278874
2838,0.00274583
2839,0.00265937
2840,0.00261674
2841,0.0025732
2842,0.00248879
2843,0.00244661
2844,0.00236169
2845,0.00224757
2846,0.00218058
2847,0.00212656
2848,0.00209744
2849,0.00202231
2850,0.00198375
2851,0.0019035
2852,0.00182363
2853,0.00178332
2854,0.00170531
2855,0.00166694
2856,0.00158936
2857,0.00155122
2858,0.00147431
2859,0.00139803
2860,0.00135975
2861,0.00128515
2862,0.00124856
2863,0.00117498
2864,0.001102
2865,0.00102917
2866,0.000957666
2867,0.000922346
2868,0.000887429
2869,0.000820292
2870,0.0007868
2871,0.000752342
2872,0.00068618
2873,0.000653321
2874,0.000587374
2875,0.000522376
2876,0.000489857
2877,0.000427247
2878,0.000396753
2879,0.000335541
2880,0.000305738
2881,0.000232344
2882,0.000200594
2883,0.000192449
2884,0.00018397
2885,0.000181108
2886,0.000179615
2887,0.000179368
2888,0.000179319
2889,0.000179544
2890,0.00017976
2891,0.000179892
2892,0.000180175
2893,0.000180319
2894,0.000180609
2895,0.000180898
2896,0.000181034
2897,0.000181182
2898,0.000181529
2899,0.000181837
2900,0.000181981
2901,0.000182316
2902,0.00018248
2903,0.000284568
2904,0.000264631
2905,0.000235765
2906,0.000225503
2907,0.000211034
2908,0.000201934
2909,0.000198723
2910,0.000194259
2911,0.000192699
2912,0.000190499
2913,0.000189746
2914,0.000188722
2915,0.000188393
2916,0.000187995
2917,0.000187892
2918,0.000187825
2919,0.000187841
2920,0.000187872
2921,0.000188039
2922,0.000188128
2923,0.000188342
2924,0.000188572
2925,0.000188683
2926,0.000188816
2927,0.000189133
2928,0.000189275
2929,0.000189567
2930,0.000189708
2931,0.00018984
2932,0.000190155
2933,0.000190298
2934,0.000190591
2935,0.000190873
2936,0.000191003
2937,0.000191326
2938,0.000191624
2939,0.000191759
2940,0.000192159
2941,0.000192546
2942,0.000196659
2943,0.000198473
2944,0.000199669
2945,0.000200096
2946,0.000203792
2947,0.000205975
2948,0.000210188
2949,0.000215433
2950,0.000221172
2951,0.00022458
2952,0.000233539
2953,0.000238772
2954,0.000248805
2955,0.000259575
2956,0.000264921
2957,0.000277654
2958,0.000284807
2959,0.000298812
2960,0.000306594
2961,0.000321911
2962,0.000338113
2963,0.000346201
2964,0.000364468
2965,0.000383523
2966,0.000392985
2967,0.000413825
2968,0.000424997
2969,0.00044697
2970,0.000469672
2971,0.000480969
2972,0.000492624
2973,0.000518682
2974,0.000544302
2975,0.000570036
2976,0.000583353
2977,0.000611991
2978,0.000627019
2979,0.000656556
2980,0.000672032
2981,0.000702595
2982,0.000733902
2983,0.000749498
2984,0.000782638
2985,0.000799937
2986,0.000834109
2987,0.000851907
2988,0.000887113
2989,0.000905453
2990,0.000941812
2991,0.00097889
2992,0.000997352
2993,0.00103616
2994,0.00107554
2995,0.0010951
2996,0.00113589
2997,0.00115695
2998,0.00119852
2999,0.00121997
3000,0.00126237
3001,0.00130535
3002,0.00132673
3003,0.844358
3004,1.19793
3005,0.358459
3006,-0.228507
3007,-0.280064
3008,0.805119
3009,1.30155
3010,0.324267
3011,-0.322937
3012,0.0218819
3013,0.467746
3014,0.851607
3015,0.870465
3016,-0.219796
3017,-0.197387
3018,0.236233
3019,0.895042
3020,0.446004
3021,-0.105719
3022,0.301205
3023,0.710337
3024,0.759497
3025,0.113324
3026,-0.179998
3027,0.499207
3028,0.805786
3029,0.70296
3030,0.0544015
3031,0.0359441
3032,0.235548
3033,0.575889
3034,0.676368
3035,0.338273
3036,0.159167
3037,0.132024
3038,0.458406
3039,0.521858
3040,0.43835
3041,0.297567
3042,0.220657
3043,0.224573
3044,0.392118
3045,0.402744
3046,0.281933
3047,0.228954
3048,0.298981
3049,0.355058
3050,0.303999
3051,0.256835
3052,0.240266
3053,0.316314
3054,0.356392
3055,0.275433
3056,0.227329
3057,0.26696
3058,0.316742
3059,0.325789
3060,0.232177
3061,0.189552
3062,0.209241
3063,0.323867
3064,0.310105
3065,0.260658
3066,0.187664
3067,0.169049
3068,0.21149
3069,0.296607
3070,0.317238
3071,0.201621
3072,0.158414
3073,0.16287
3074,0.212964
3075,0.253962
3076,0.251787
3077,0.16123
3078,0.123037
3079,0.148246
3080,0.245816
3081,0.278162
3082,0.164548
3083,0.111391
3084,0.107727
3085,0.204045
3086,0.246272
3087,0.20881
3088,0.0979331
3089,0.0918464
3090,0.122988
3091,0.173656
3092,0.142711
3093,0.108055
3094,0.0995297
3095,0.108805
3096,0.115912
3097,0.111929
3098,0.0814135
3099,0.0686509
3100,0.0738461
3101,0.0928088
3102,0.0791076
3103,0.0633774
3104,0.0498404
3105,0.0500317
3106,0.0433466
3107,0.0364647
3108,0.0273529
3109,0.0201757
3110,0.0185554
3111,0.0148015
3112,0.00368344
3113,-0.00176584
3114,-0.00348281
3115,-0.00395951
3116,-0.00929201
3117,-0.0297302
3118,-0.039187
3119,-0.0400187
3120,-0.0345833
3121,-0.0340883
3122,-0.0599716
3123,-0.0741233
3124,-0.0668552
3125,-0.0649837
3126,-0.0701357
3127,-0.0959426
3128,-0.107641
3129,-0.0954799
3130,-0.0875646
3131,-0.113775
3132,-0.130979
3133,-0.12629
3134,-0.123048
3135,-0.126507
3136,-0.139106
3137,-0.160401
3138,-0.162795
3139,-0.159602
3140,-0.14073
3141,-0.148369
3142,-0.160692
3143,-0.188224
3144,-0.195544
3145,-0.15553
3146,-0.132015
3147,-0.181248
3148,-0.234793
3149,-0.251294
3150,-0.154664
3151,-0.104968
3152,-0.181854
3153,-0.228401
3154,-0.266298
3155,-0.204503
3156,-0.16343
3157,-0.203532
3158,-0.273111
3159,-0.270695
3160,-0.24245
3161,-0.189437
3162,-0.178394
3163,-0.261438
3164,-0.300001
3165,-0.300977
3166,-0.204768
3167,-0.159355
3168,-0.184285
