time,theta
1171,3.12052
1172,3.12052
1173,3.12052
1174,3.12052
1175,3.12052
1176,3.12052
1177,3.12052
1178,3.12051
1179,3.12051
1180,3.12051
1181,3.12051
1182,3.12051
1183,3.12051
1184,3.12051
1185,3.12051
1186,3.12051
1187,3.12051
1188,3.12051
1189,3.12051
1190,3.12051
1191,3.12051
1192,3.12051
1193,3.12051
1194,3.12051
1195,3.12051
1196,3.12051
1197,3.12051
1198,3.1205
1199,3.1205
1200,3.1205
1201,3.1205
1202,3.1205
1203,3.1205
1204,3.1205
1205,3.1205
1206,3.1205
1207,3.1205
1208,3.1205
1209,3.1205
1210,3.1205
1211,3.1205
1212,3.1205
1213,3.1205
1214,3.1205
1215,3.1205
1216,3.1205
1217,3.1205
1218,3.12049
1219,3.12049
1220,3.12049
1221,3.12049
1222,3.12049
1223,3.12049
1224,3.12049
1225,3.12049
1226,3.12049
1227,3.12049
1228,3.12049
1229,3.12049
1230,3.12049
1231,3.12049
1232,3.12049
1233,3.12049
1234,3.12049
1235,3.12049
1236,3.12049
1237,3.12049
1238,3.12048
1239,3.12048
1240,3.12048
1241,3.12048
1242,3.12048
1243,3.12048
1244,3.12048
1245,3.12048
1246,3.12048
1247,3.12048
1248,3.12048
1249,3.12048
1250,3.12048
1251,3.12048
1252,3.12048
1253,3.12048
1254,3.12048
1255,3.12048
1256,3.12048
1257,3.12047
1258,3.12047
1259,3.12047
1260,3.12047
1261,3.12047
1262,3.12047
1263,3.12047
1264,3.12047
1265,3.12047
1266,3.12047
1267,3.12047
1268,3.12047
1269,3.12047
1270,3.12047
1271,3.12047
1272,3.12047
1273,3.12047
1274,3.12047
1275,3.12047
1276,3.12047
1277,3.12047
1278,3.12047
1279,3.12046
1280,3.12046
1281,3.12046
1282,3.12046
1283,3.12046
1284,3.12046
1285,3.12046
1286,3.12046
1287,3.12046
1288,3.12046
1289,3.12046
1290,3.12046
1291,3.12046
1292,3.12046
1293,3.12046
1294,3.12046
1295,3.12046
1296,3.12046
1297,3.12046
1298,3.12046
1299,3.12046
1300,3.12045
1301,3.12045
1302,3.12045
1303,3.12045
1304,3.12045
1305,3.12045
1306,3.12045
1307,3.12045
1308,3.12045
1309,3.12045
1310,3.12045
1311,3.12045
1312,3.12045
1313,3.12045
1314,3.12045
1315,3.12045
1316,3.12045
1317,3.12045
1318,3.12045
1319,3.12045
1320,3.12045
1321,3.12044
1322,3.12044
1323,3.12044
1324,3.12044
1325,3.12044
1326,3.12044
1327,3.12044
1328,3.12044
1329,3.12044
1330,3.12044
1331,3.12044
1332,3.12044
1333,3.12044
1334,3.12044
1335,3.12044
1336,3.12044
1337,3.12044
1338,3.12044
1339,3.12044
1340,3.12044
1341,3.12044
1342,3.12044
1343,3.12043
1344,3.12043
1345,3.12043
1346,3.12043
1347,3.12043
1348,3.12043
1349,3.12043
1350,3.12043
1351,3.12043
1352,3.12043
1353,3.12043
1354,3.12043
1355,3.12043
1356,3.12043
